,location,total_sqft,bath,price,bhk
125,"4K Chowrangi, Karachi, Sindh ",1645,3,87.5,3
126,"4K Chowrangi, Karachi, Sindh ",1350,2,89,2
131,"4K Chowrangi, Karachi, Sindh ",2600,3,140,3
132,"4K Chowrangi, Karachi, Sindh ",1300,3,89.13,3
133,"4K Chowrangi, Karachi, Sindh ",1130,2,73,2
134,"4K Chowrangi, Karachi, Sindh ",1690,3,125,3
135,"4K Chowrangi, Karachi, Sindh ",4500,4,360,3
136,"4K Chowrangi, Karachi, Sindh ",950,2,60,2
142,"4K Chowrangi, Karachi, Sindh ",2215,4,156,3
144,"4K Chowrangi, Karachi, Sindh ",1804,3,102,3
147,"4K Chowrangi, Karachi, Sindh ",1255,3,77.68,3
150,"4K Chowrangi, Karachi, Sindh ",1850,6,150,6
153,"4K Chowrangi, Karachi, Sindh ",1789,3,98,3
158,"4K Chowrangi, Karachi, Sindh ",1395,2,72,3
160,"4K Chowrangi, Karachi, Sindh ",1252,2,71,3
162,"4K Chowrangi, Karachi, Sindh ",2062,3,150,4
165,"4K Chowrangi, Karachi, Sindh ",1180,2,60,3
166,"4K Chowrangi, Karachi, Sindh ",715,1,29,1
167,"4K Chowrangi, Karachi, Sindh ",1230,2,94.5,2
169,"4K Chowrangi, Karachi, Sindh ",3360,5,225,4
170,"4K Chowrangi, Karachi, Sindh ",1300,3,77.99,3
173,"4K Chowrangi, Karachi, Sindh ",705,1,57,1
176,"4K Chowrangi, Karachi, Sindh ",1320,2,110,2
178,"4K Chowrangi, Karachi, Sindh ",1263,2,107,2
180,"4K Chowrangi, Karachi, Sindh ",2882,5,204,4
181,"4K Chowrangi, Karachi, Sindh ",1750,3,99,3
183,"4K Chowrangi, Karachi, Sindh ",1936,3,118,3
184,"4K Chowrangi, Karachi, Sindh ",1402,2,85,3
188,"4K Chowrangi, Karachi, Sindh ",1680,3,135,4
189,"4K Chowrangi, Karachi, Sindh ",2422,3,150,4
190,"4K Chowrangi, Karachi, Sindh ",1145,2,100,2
201,"4K Chowrangi, Karachi, Sindh ",1085,2,70,2
206,"4K Chowrangi, Karachi, Sindh ",1840,3,140,3
210,"4K Chowrangi, Karachi, Sindh ",1000,2,60,2
211,"4K Chowrangi, Karachi, Sindh ",1000,2,60,2
212,"4K Chowrangi, Karachi, Sindh ",1500,3,88,3
213,"4K Chowrangi, Karachi, Sindh ",1165,2,75,2
214,"4K Chowrangi, Karachi, Sindh ",1787,3,123,3
215,"4K Chowrangi, Karachi, Sindh ",1288,2,70,3
216,"Bahria Town Karachi, Karachi, Sindh",1445,3,95,3
217,"Bahria Town Karachi, Karachi, Sindh",711,1,36,1
220,"Bahria Town Karachi, Karachi, Sindh",1200,2,85,2
221,"Bahria Town Karachi, Karachi, Sindh",1375,3,70,3
222,"Bahria Town Karachi, Karachi, Sindh",2250,3,160,3
224,"Bahria Town Karachi, Karachi, Sindh",1030,2,61,2
227,"Bahria Town Karachi, Karachi, Sindh",600,1,32,1
230,"Bahria Town Karachi, Karachi, Sindh",1304,2,79,2
233,"Bahria Town Karachi, Karachi, Sindh",700,1,30.09,1
235,"Bahria Town Karachi, Karachi, Sindh",1300,2,73,2
236,"Bahria Town Karachi, Karachi, Sindh",1239,2,82,2
238,"Bahria Town Karachi, Karachi, Sindh",1365,2,92,2
240,"Bahria Town Karachi, Karachi, Sindh",1776.42,3,105,3
243,"Bahria Town Karachi, Karachi, Sindh",2319,3,180,3
244,"Bahria Town Karachi, Karachi, Sindh",1520,3,80,3
245,"Bahria Town Karachi, Karachi, Sindh",1536,3,89,3
247,"Bahria Town Karachi, Karachi, Sindh",1850,3,146,3
248,"Bahria Town Karachi, Karachi, Sindh",1112,2,62,2
250,"Bahria Town Karachi, Karachi, Sindh",1250,3,65,3
254,"Bahria Town Karachi, Karachi, Sindh",2072,3,108,3
256,"Bahria Town Karachi, Karachi, Sindh",1550,3,82,3
257,"Bahria Town Karachi, Karachi, Sindh",1315,2,90,2
258,"Bahria Town Karachi, Karachi, Sindh",3067,4,230,4
259,"Bahria Town Karachi, Karachi, Sindh",1210,2,72,2
261,"Bahria Town Karachi, Karachi, Sindh",11338,9,1000,6
263,"Bahria Town Karachi, Karachi, Sindh",1470,2,75,3
264,"Bahria Town Karachi, Karachi, Sindh",30000,4,2100,4
265,"Bahria Town Karachi, Karachi, Sindh",1590,2,125,3
274,"Bahria Town Karachi, Karachi, Sindh",1196,2,71.74,2
276,"Bahria Town Karachi, Karachi, Sindh",1418,2,101,2
277,"Bahria Town Karachi, Karachi, Sindh",1655,3,115,3
279,"Bahria Town Karachi, Karachi, Sindh",1170,2,68,2
283,"Bahria Town Karachi, Karachi, Sindh",1917,3,122,3
285,"Bahria Town Karachi, Karachi, Sindh",1246,2,82,2
287,"Bahria Town Karachi, Karachi, Sindh",1750,3,100,3
289,"Bahria Town Karachi, Karachi, Sindh",1370,2,75,3
290,"Bahria Town Karachi, Karachi, Sindh",1374,2,72,3
291,"Bahria Town Karachi, Karachi, Sindh",1754,3,124,3
292,"Bahria Town Karachi, Karachi, Sindh",1847,3,110,3
293,"Bahria Town Karachi, Karachi, Sindh",1850,4,139,3
298,"Bahria Town Karachi, Karachi, Sindh",693,1,34.3,1
300,"Bahria Town Karachi, Karachi, Sindh",1165,2,95,2
301,"Bahria Town Karachi, Karachi, Sindh",1756,3,92,3
302,"Bahria Town Karachi, Karachi, Sindh",1739,3,105,3
309,"Bahria Town Karachi, Karachi, Sindh",3200,4,205,4
310,"Bahria Town Karachi, Karachi, Sindh",1311,2,78,2
313,"Bahria Town Karachi, Karachi, Sindh",1170,2,71,2
315,"Bahria Town Karachi, Karachi, Sindh",1255,2,77.68,3
317,"Bahria Town Karachi, Karachi, Sindh",1936,4,126,3
319,"Bahria Town Karachi, Karachi, Sindh",2257,4,157,3
320,"Bahria Town Karachi, Karachi, Sindh",1055,2,55,2
322,"Bahria Town Karachi, Karachi, Sindh",1700,3,97,3
323,"Bahria Town Karachi, Karachi, Sindh",1575,2,78,3
324,"Bahria Town Karachi, Karachi, Sindh",3500,4,330,3
325,"Bahria Town Karachi, Karachi, Sindh",1043,2,65,2
327,"Bahria Town Karachi, Karachi, Sindh",590,1,13.57,1
328,"Bahria Town Karachi, Karachi, Sindh",1550,3,120,3
330,"Bahria Town Karachi, Karachi, Sindh",1900,3,160,3
332,"Bahria Town Karachi, Karachi, Sindh",1100,2,75,2
334,"Bahria Town Karachi, Karachi, Sindh",1152,2,69,2
335,"Bahria Town Karachi, Karachi, Sindh",1299,2,82,2
336,"Bahria Town Karachi, Karachi, Sindh",1157,2,75,3
338,"Bahria Town Karachi, Karachi, Sindh",1200,2,65,3
339,"Bahria Town Karachi, Karachi, Sindh",1124,3,80,2
340,"Bahria Town Karachi, Karachi, Sindh",1012,2,54.59,2
342,"Bahria Town Karachi, Karachi, Sindh",871,2,55,2
345,"Bahria Town Karachi, Karachi, Sindh",1410,2,80,3
347,"Bahria Town Karachi, Karachi, Sindh",1118,2,75,2
348,"Bahria Town Karachi, Karachi, Sindh",1098,2,68,2
350,"Bahria Town Karachi, Karachi, Sindh",1145,2,75,2
351,"Bahria Town Karachi, Karachi, Sindh",950,3,80,3
354,"Bahria Town Karachi, Karachi, Sindh",1478,2,125,2
355,"Bahria Town Karachi, Karachi, Sindh",1745,3,115,3
359,"Bahria Town Karachi, Karachi, Sindh",1843,3,95.84,3
360,"Bahria Town Karachi, Karachi, Sindh",2200,4,195,4
362,"Bahria Town Karachi, Karachi, Sindh",1375,2,80,2
363,"Bahria Town Karachi, Karachi, Sindh",1180,2,65,2
365,"Bahria Town Karachi, Karachi, Sindh",1728,3,95,3
368,"Bahria Town Karachi, Karachi, Sindh",440,1,28,1
369,"Bahria Town Karachi, Karachi, Sindh",1500,3,97,3
370,"Bahria Town Karachi, Karachi, Sindh",1800,3,110,3
371,"Bahria Town Karachi, Karachi, Sindh",1525,3,96,3
374,"Bahria Town Karachi, Karachi, Sindh",1562,3,103,3
376,"Bahria Town Karachi, Karachi, Sindh",1555,3,82.5,3
378,"Bahria Town Karachi, Karachi, Sindh",1190,2,67,2
381,"Bahria Town Karachi, Karachi, Sindh",1610,3,115,3
382,"Bahria Town Karachi, Karachi, Sindh",700,1,41,1
384,"Bahria Town Karachi, Karachi, Sindh",1420,2,123,2
385,"Bahria Town Karachi, Karachi, Sindh",1069,3,65.4,3
386,"Bahria Town Karachi, Karachi, Sindh",1900,3,123,3
387,"Bahria Town Karachi, Karachi, Sindh",1655,2,97.65,2
389,"Bahria Town Karachi, Karachi, Sindh",1300,2,70,3
393,"Bahria Town Karachi, Karachi, Sindh",1760,3,139,3
394,"Bahria Town Karachi, Karachi, Sindh",6200,9,200,9
397,"Bahria Town Karachi, Karachi, Sindh",912,2,55,2
401,"Bahria Town Karachi, Karachi, Sindh",918,2,63.2,2
403,"Bahria Town Karachi, Karachi, Sindh",3000,3,250,3
404,"Bahria Town Karachi, Karachi, Sindh",1476,3,89,3
405,"Bahria Town Karachi, Karachi, Sindh",1200,2,65,2
406,"Bahria Town Karachi, Karachi, Sindh",606,1,34.78,1
407,"Bahria Town Karachi, Karachi, Sindh",1100,2,61,2
409,"Bahria Town Karachi, Karachi, Sindh",527,1,26,1
410,"Bahria Town Karachi, Karachi, Sindh",1300,2,80,2
411,"Bahria Town Karachi, Karachi, Sindh",1260,1,41,1
412,"Bahria Town Karachi, Karachi, Sindh",1140,2,75.2,2
413,"Bahria Town Karachi, Karachi, Sindh",1500,1,37.5,1
414,"Bahria Town Karachi, Karachi, Sindh",2321,4,128,3
416,"Bahria Town Karachi, Karachi, Sindh",1725,3,90,3
417,"Bahria Town Karachi, Karachi, Sindh",3067,4,310,4
418,"Bahria Town Karachi, Karachi, Sindh",1230,2,85,2
419,"Bahria Town Karachi, Karachi, Sindh",600,1,17,1
420,"Bahria Town Karachi, Karachi, Sindh",1313,3,96,3
421,"Bahria Town Karachi, Karachi, Sindh",900,2,55,2
422,"Bahria Town Karachi, Karachi, Sindh",1250,2,66.25,2
423,"Bahria Town Karachi, Karachi, Sindh",1036,2,105,2
424,"Bahria Town Karachi, Karachi, Sindh",1100,2,70,2
426,"Bahria Town Karachi, Karachi, Sindh",1015,2,56,2
427,"Bahria Town Karachi, Karachi, Sindh",1626,2,120,3
429,"Bahria Town Karachi, Karachi, Sindh",1600,5,140,5
431,"Bahria Town Karachi, Karachi, Sindh",1000,2,65,3
433,"Bahria Town Karachi, Karachi, Sindh",1700,2,100,3
434,"Bahria Town Karachi, Karachi, Sindh",1850,3,110,3
439,"Bahria Town Karachi, Karachi, Sindh",730,1,35,1
442,"Bahria Town Karachi, Karachi, Sindh",1200,3,90,3
443,"Bahria Town Karachi, Karachi, Sindh",1804,3,121,3
444,"Bahria Town Karachi, Karachi, Sindh",2065,4,210,3
447,"Bahria Town Karachi, Karachi, Sindh",900,2,56,2
448,"Bahria Town Karachi, Karachi, Sindh",1350,2,91,2
449,"Bahria Town Karachi, Karachi, Sindh",700,1,36,1
452,"Bahria Town Karachi, Karachi, Sindh",1680,3,99.27,3
453,"Bahria Town Karachi, Karachi, Sindh",1043,2,55,2
454,"Bahria Town Karachi, Karachi, Sindh",1200,4,120,4
459,"Bahria Town Karachi, Karachi, Sindh",2500,4,150,4
460,"Bahria Town Karachi, Karachi, Sindh",1700,3,120,3
462,"Bahria Town Karachi, Karachi, Sindh",1400,2,100,2
464,"Bahria Town Karachi, Karachi, Sindh",1180,2,100,2
465,"Bahria Town Karachi, Karachi, Sindh",1800,3,150,3
466,"Bahria Town Karachi, Karachi, Sindh",1225,2,67.38,2
467,"Bahria Town Karachi, Karachi, Sindh",890,1,75,1
469,"Bahria Town Karachi, Karachi, Sindh",1320,2,95,2
471,"Bahria Town Karachi, Karachi, Sindh",1707,2,99.745,3
474,"Bahria Town Karachi, Karachi, Sindh",1128,2,65.35,2
475,"Bahria Town Karachi, Karachi, Sindh",1452.19,2,100,2
476,"Bahria Town Karachi, Karachi, Sindh",2600,4,135,3
477,"Bahria Town Karachi, Karachi, Sindh",630,1,35,2
480,"Bahria Town Karachi, Karachi, Sindh",1690,3,100,3
482,"Bahria Town Karachi, Karachi, Sindh",1365,2,73,2
483,"Bahria Town Karachi, Karachi, Sindh",1420,2,99.39,2
486,"Bahria Town Karachi, Karachi, Sindh",1575,2,110,3
487,"Bahria Town Karachi, Karachi, Sindh",1418,2,104,2
490,"Bahria Town Karachi, Karachi, Sindh",1340,3,90,3
491,"Bahria Town Karachi, Karachi, Sindh",1610,3,92,3
496,"Bahria Town Karachi, Karachi, Sindh",734,1,19.82,1
500,"Bahria Town Karachi, Karachi, Sindh",1350,2,79,2
502,"Bahria Town Karachi, Karachi, Sindh",1350,2,90,2
503,"Bahria Town Karachi, Karachi, Sindh",1493,3,82,3
505,"Bahria Town Karachi, Karachi, Sindh",1900,2,170,3
506,"Bahria Town Karachi, Karachi, Sindh",1260,2,100,2
507,"Bahria Town Karachi, Karachi, Sindh",1346,2,96.17,2
508,"Bahria Town Karachi, Karachi, Sindh",1550,2,140,2
510,"Bahria Town Karachi, Karachi, Sindh",1700,3,124,3
512,"Bahria Town Karachi, Karachi, Sindh",525,1,25,1
515,"Bahria Town Karachi, Karachi, Sindh",1045,2,60,2
517,"Bahria Town Karachi, Karachi, Sindh",1260,2,75,2
518,"Bahria Town Karachi, Karachi, Sindh",1500,2,125,3
521,"Bahria Town Karachi, Karachi, Sindh",1385,2,83.09,2
522,"Bahria Town Karachi, Karachi, Sindh",1149,2,75,2
523,"Bahria Town Karachi, Karachi, Sindh",2180,3,170,3
525,"Bahria Town Karachi, Karachi, Sindh",3596,5,282,4
526,"Bahria Town Karachi, Karachi, Sindh",1295,2,70,2
527,"Bahria Town Karachi, Karachi, Sindh",2820,3,285,3
530,"Bahria Town Karachi, Karachi, Sindh",1200,2,62,2
532,"Bahria Town Karachi, Karachi, Sindh",3500,4,300,4
533,"Bahria Town Karachi, Karachi, Sindh",1220,3,62,3
534,"Bahria Town Karachi, Karachi, Sindh",1950,3,130,3
537,"Bahria Town Karachi, Karachi, Sindh",918,2,55,2
538,"Bahria Town Karachi, Karachi, Sindh",1563,3,91.84,3
542,"Bahria Town Karachi, Karachi, Sindh",1445,2,125,3
543,"Bahria Town Karachi, Karachi, Sindh",1332,2,86.12,3
547,"Bahria Town Karachi, Karachi, Sindh",1012,2,75,2
551,"Bahria Town Karachi, Karachi, Sindh",635,1,26,1
555,"Bahria Town Karachi, Karachi, Sindh",1225,2,65,2
557,"Bahria Town Karachi, Karachi, Sindh",2365,4,175,3
559,"Bahria Town Karachi, Karachi, Sindh",1490,2,92,3
560,"Bahria Town Karachi, Karachi, Sindh",1144,2,67,2
562,"Bahria Town Karachi, Karachi, Sindh",1050,2,55.5,2
567,"Bahria Town Karachi, Karachi, Sindh",1252,2,65,3
568,"Bahria Town Karachi, Karachi, Sindh",1374,2,88,3
569,"Bahria Town Karachi, Karachi, Sindh",500,1,30,1
570,"Bahria Town Karachi, Karachi, Sindh",1355,3,83.87,3
572,"Bahria Town Karachi, Karachi, Sindh",1560,3,90,3
574,"Bahria Town Karachi, Karachi, Sindh",1430,2,90,3
575,"Bahria Town Karachi, Karachi, Sindh",3450,5,348,3
579,"Bahria Town Karachi, Karachi, Sindh",1030,2,60,2
581,"Bahria Town Karachi, Karachi, Sindh",3800,3,325,4
583,"Bahria Town Karachi, Karachi, Sindh",1250,3,65,3
587,"Bahria Town Karachi, Karachi, Sindh",600,1,47,1
588,"Bahria Town Karachi, Karachi, Sindh",1335,2,87,3
589,"Bahria Town Karachi, Karachi, Sindh",1246,2,67.3,2
590,"Bahria Town Karachi, Karachi, Sindh",3496.5,2,237.5,3
593,"Bahria Town Karachi, Karachi, Sindh",1480,3,95,3
597,"Bahria Town Karachi, Karachi, Sindh",1265,2,83,2
598,"Bahria Town Karachi, Karachi, Sindh",1700,3,88.2,3
599,"Bahria Town Karachi, Karachi, Sindh",1438,2,89,2
600,"Bahria Town Karachi, Karachi, Sindh",1080,2,75,2
601,"Bahria Town Karachi, Karachi, Sindh",1200,3,125,3
602,"Bahria Town Karachi, Karachi, Sindh",1350,3,68,3
605,"Bahria Town Karachi, Karachi, Sindh",2274.24,4,160,3
606,"Bahria Town Karachi, Karachi, Sindh",1484,3,74.18,3
609,"Bahria Town Karachi, Karachi, Sindh",984,2,55,2
610,"Bahria Town Karachi, Karachi, Sindh",1770,3,100,3
612,"Bahria Town Karachi, Karachi, Sindh",1350,3,75,3
613,"Bahria Town Karachi, Karachi, Sindh",2134,4,118,3
614,"Bahria Town Karachi, Karachi, Sindh",1369.1,2,98,2
617,"Bahria Town Karachi, Karachi, Sindh",1170,2,120,2
618,"Bahria Town Karachi, Karachi, Sindh",525,1,26.25,1
625,"Bahria Town Karachi, Karachi, Sindh",1210,2,77,2
626,"Bahria Town Karachi, Karachi, Sindh",1920,3,150,3
627,"Bahria Town Karachi, Karachi, Sindh",2250,3,200,3
629,"Bahria Town Karachi, Karachi, Sindh",1636,3,85,3
630,"Bahria Town Karachi, Karachi, Sindh",381,1,28,1
631,"Bahria Town Karachi, Karachi, Sindh",2002,3,120,3
632,"Bahria Town Karachi, Karachi, Sindh",1200,2,70,2
634,"Bahria Town Karachi, Karachi, Sindh",1374,3,72,3
635,"Bahria Town Karachi, Karachi, Sindh",1200,2,75,2
642,"Bahria Town Karachi, Karachi, Sindh",1210,2,75,2
643,"Bahria Town Karachi, Karachi, Sindh",1157,2,57.84,3
644,"Bahria Town Karachi, Karachi, Sindh",1200,2,100,3
645,"Bahria Town Karachi, Karachi, Sindh",965,2,56,2
647,"Bahria Town Karachi, Karachi, Sindh",1724,3,125,3
648,"Bahria Town Karachi, Karachi, Sindh",1216,2,67,2
650,"Bahria Town Karachi, Karachi, Sindh",1250,2,67,2
651,"Bahria Town Karachi, Karachi, Sindh",1546,3,95,3
656,"Bahria Town Karachi, Karachi, Sindh",375,1,26,1
657,"Bahria Town Karachi, Karachi, Sindh",1007,2,66,2
658,"Bahria Town Karachi, Karachi, Sindh",800,3,59.5,2
661,"Bahria Town Karachi, Karachi, Sindh",2850,5,240,4
662,"Bahria Town Karachi, Karachi, Sindh",1400,2,85,2
663,"Bahria Town Karachi, Karachi, Sindh",1152,2,61,2
666,"Bahria Town Karachi, Karachi, Sindh",2990,5,173,3
667,"Bahria Town Karachi, Karachi, Sindh",1310,2,85,2
668,"Bahria Town Karachi, Karachi, Sindh",1590,2,126,3
669,"Bahria Town Karachi, Karachi, Sindh",1645,3,110,3
670,"Bahria Town Karachi, Karachi, Sindh",777,1,38.535,1
671,"Bahria Town Karachi, Karachi, Sindh",925,2,70,2
672,"Bahria Town Karachi, Karachi, Sindh",1542.14,3,120,3
673,"Bahria Town Karachi, Karachi, Sindh",1020,2,55,2
674,"Bahria Town Karachi, Karachi, Sindh",2470,4,203,4
678,"Bahria Town Karachi, Karachi, Sindh",1200,4,95,4
679,"Bahria Town Karachi, Karachi, Sindh",5100,6,375,5
682,"Bahria Town Karachi, Karachi, Sindh",1417,2,76,3
683,"Bahria Town Karachi, Karachi, Sindh",1492,3,88,3
684,"Bahria Town Karachi, Karachi, Sindh",1498,3,79.15,3
686,"Bahria Town Karachi, Karachi, Sindh",1847,3,125,3
687,"Bahria Town Karachi, Karachi, Sindh",2144.6,4,145,3
689,"Bahria Town Karachi, Karachi, Sindh",1480,3,74,3
691,"Bahria Town Karachi, Karachi, Sindh",1250,2,68,2
693,"Bahria Town Karachi, Karachi, Sindh",400,1,35,1
694,"Bahria Town Karachi, Karachi, Sindh",4000,4,325,4
695,"Bahria Town Karachi, Karachi, Sindh",2072,4,152,3
696,"Bahria Town Karachi, Karachi, Sindh",3657,5,310,5
698,"Bahria Town Karachi, Karachi, Sindh",1315,3,65,3
699,"Bahria Town Karachi, Karachi, Sindh",1410,2,73,3
701,"Bahria Town Karachi, Karachi, Sindh",1299,2,95,2
704,"Bahria Town Karachi, Karachi, Sindh",2830,5,190,4
705,"Bahria Town Karachi, Karachi, Sindh",1890,4,100,3
707,"Bahria Town Karachi, Karachi, Sindh",3000,3,170,4
709,"Bahria Town Karachi, Karachi, Sindh",840,1,57.6,1
710,"Bahria Town Karachi, Karachi, Sindh",1000,2,62,2
711,"Bahria Town Karachi, Karachi, Sindh",600,1,33,1
713,"Bahria Town Karachi, Karachi, Sindh",800,2,80,2
717,"Bahria Town Karachi, Karachi, Sindh",500,1,14,1
718,"Bahria Town Karachi, Karachi, Sindh",655,1,27,1
720,"Bahria Town Karachi, Karachi, Sindh",1917,3,132,3
722,"Bahria Town Karachi, Karachi, Sindh",1370,2,90,3
723,"Bahria Town Karachi, Karachi, Sindh",1465,3,90,2
724,"Bahria Town Karachi, Karachi, Sindh",1645,3,117,3
725,"Bahria Town Karachi, Karachi, Sindh",1820,3,150,3
728,"Bahria Town Karachi, Karachi, Sindh",1215,2,68,2
730,"Bahria Town Karachi, Karachi, Sindh",1400,2,78,3
733,"Bahria Town Karachi, Karachi, Sindh",3854.5,6,385.5,4
734,"Bahria Town Karachi, Karachi, Sindh",1613,3,150,3
735,"Bahria Town Karachi, Karachi, Sindh",1375,2,78,2
736,"Bahria Town Karachi, Karachi, Sindh",985,2,57,2
742,"Bahria Town Karachi, Karachi, Sindh",800,1,32,1
743,"Bahria Town Karachi, Karachi, Sindh",530,1,13.5,1
746,"Bahria Town Karachi, Karachi, Sindh",2072,4,160,3
747,"Bahria Town Karachi, Karachi, Sindh",2273,3,159,3
748,"Bahria Town Karachi, Karachi, Sindh",760,1,50,1
756,"Bahria Town Karachi, Karachi, Sindh",1200,3,98,3
757,"Bahria Town Karachi, Karachi, Sindh",1149,2,65,2
758,"Bahria Town Karachi, Karachi, Sindh",1745,2,98.485,3
759,"Bahria Town Karachi, Karachi, Sindh",1010,2,55,2
761,"Bahria Town Karachi, Karachi, Sindh",1330,2,77,2
762,"Bahria Town Karachi, Karachi, Sindh",1200,2,68,2
764,"Bahria Town Karachi, Karachi, Sindh",1380,3,130,3
765,"Bahria Town Karachi, Karachi, Sindh",1303,2,90,2
766,"Bahria Town Karachi, Karachi, Sindh",2500,3,180,5
769,"Bahria Town Karachi, Karachi, Sindh",1020,2,55,2
770,"Bahria Town Karachi, Karachi, Sindh",2095,3,142,3
771,"Bahria Town Karachi, Karachi, Sindh",1210,2,81,3
772,"Bahria Town Karachi, Karachi, Sindh",782,1,19.55,1
773,"Bahria Town Karachi, Karachi, Sindh",1435,2,80,3
775,"Bahria Town Karachi, Karachi, Sindh",1674,3,90,3
777,"Bahria Town Karachi, Karachi, Sindh",1703,3,130,3
778,"Bahria Town Karachi, Karachi, Sindh",2700,4,175,4
779,"Bahria Town Karachi, Karachi, Sindh",780,2,72,2
780,"Bahria Town Karachi, Karachi, Sindh",1250,2,110,2
781,"Bahria Town Karachi, Karachi, Sindh",1250,4,100,4
782,"Bahria Town Karachi, Karachi, Sindh",620,2,48,1
786,"Bahria Town Karachi, Karachi, Sindh",1691,3,113,3
788,"Bahria Town Karachi, Karachi, Sindh",1300,3,77.99,3
789,"Bahria Town Karachi, Karachi, Sindh",1356,2,94.84,2
790,"Bahria Town Karachi, Karachi, Sindh",1338,2,103,2
791,"Bahria Town Karachi, Karachi, Sindh",500,1,20,1
792,"Bahria Town Karachi, Karachi, Sindh",1280,2,100,3
795,"Bahria Town Karachi, Karachi, Sindh",1917,3,110,3
796,"Bahria Town Karachi, Karachi, Sindh",2625,3,175,3
798,"Bahria Town Karachi, Karachi, Sindh",2041,3,128,3
799,"Bahria Town Karachi, Karachi, Sindh",2070,4,160,3
800,"Bahria Town Karachi, Karachi, Sindh",1110,3,59,3
801,"Bahria Town Karachi, Karachi, Sindh",1650,3,110,3
802,"Bahria Town Karachi, Karachi, Sindh",3565,4,255,4
804,"Bahria Town Karachi, Karachi, Sindh",1142,2,65,2
806,"Bahria Town Karachi, Karachi, Sindh",1100,2,60,2
807,"Bahria Town Karachi, Karachi, Sindh",1424,2,75,3
808,"Bahria Town Karachi, Karachi, Sindh",1610,2,115,3
